updatedAt; title; locality; rent; url
"2024-04-06T16:41:13.615Z"; "3 BHK, Shriram Signiaa"; "Electronic City"; 15000; "https://classifieds.mygate.com/listing/6589a37fe9dd1f001ca49d81"
"2024-04-08T05:03:54.402Z"; "3 BHK, Manya HI Living"; "Electronic City"; 34500; "https://classifieds.mygate.com/listing/65ddb7149a8c63001cb19359"
"2024-04-21T04:38:45.243Z"; "3 BHK, Concorde Cuppertino"; "Electronic City"; 53500; "https://classifieds.mygate.com/listing/6614c7842175fb001cb73178"
"2024-04-20T13:44:09.430Z"; "3 BHK, Concorde Cuppertino"; "Electronic City"; 55000; "https://classifieds.mygate.com/listing/66115e58bf26c0001c91a3ea"
"2023-08-30T04:59:12.545Z"; "3 BHK, Concorde Cuppertino"; "Electronic City"; 70000; "https://classifieds.mygate.com/listing/64eecc930f3af5001dd15409"
"2024-04-21T09:10:53.881Z"; "2 BHK, Concorde Manhattans"; "Electronic City"; 34000; "https://classifieds.mygate.com/listing/61518e1794a6b000157bf9f9"
"2024-04-13T14:44:03.876Z"; "2 BHK, Concorde Manhattans"; "Electronic City"; 35000; "https://classifieds.mygate.com/listing/650d7eb14bb66b001cfff651"
"2023-04-19T07:07:25.338Z"; "2 BHK, Concorde Manhattans"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/643e51e65b0320001c5be13d"
"2024-04-07T14:48:32.949Z"; "1 BHK, SRK Samrudhi"; "Electronic City"; 20000; "https://classifieds.mygate.com/listing/6612b237359655001c0269c0"
"2024-04-21T06:07:46.432Z"; "3 BHK, Godrej E-City"; "Doddathoguru"; 40000; "https://classifieds.mygate.com/listing/6624ad30b72523001ca20df9"
"2024-04-07T14:59:17.802Z"; "2 BHK, Godrej E-City"; "Doddathoguru"; 34000; "https://classifieds.mygate.com/listing/60d0d33caa4e04bfef2e1c9f"
"2024-03-27T05:33:39.125Z"; "3 BHK, Godrej E-City"; "Doddathoguru"; 35000; "https://classifieds.mygate.com/listing/6603afb0c1afd9001ca1efe8"
"2024-02-03T18:02:34.646Z"; "2 BHK, Godrej E-City"; "Doddathoguru"; 32000; "https://classifieds.mygate.com/listing/65618e81d3f72c001c64342a"
"2024-02-01T14:46:47.989Z"; "3 BHK, Godrej E-City"; "Doddathoguru"; 45000; "https://classifieds.mygate.com/listing/65bb2e845bcd18001c1163b0"
"2023-12-03T04:02:18.243Z"; "3 BHK, Godrej E-City"; "Doddathoguru"; 36000; "https://classifieds.mygate.com/listing/656bfc7a2db5b3001c0401b7"
"2023-12-02T13:09:32.224Z"; "3 BHK, Godrej E-City"; "Doddathoguru"; 36000; "https://classifieds.mygate.com/listing/61b6fbdd4ac03d0020f90dc7"
"2023-09-15T05:08:34.668Z"; "3 BHK, Godrej E-City"; "Doddathoguru"; 40000; "https://classifieds.mygate.com/listing/64e048c44a5c89001ca776fe"
"2023-05-16T09:09:29.185Z"; "2 BHK, Godrej E-City"; "Doddathoguru"; 30000; "https://classifieds.mygate.com/listing/645e255fbc925d001c67cb97"
"2024-04-19T04:47:22.756Z"; "2 BHK, Kolte Patil iTowers Exente"; "Electronic City"; 41000; "https://classifieds.mygate.com/listing/6621f75252a465001cd84d40"
"2023-06-07T08:06:54.560Z"; "3 BHK, Prestige Sunrise Park - Norwood"; "Electronic City"; 53000; "https://classifieds.mygate.com/listing/648018ffb44a84001cc89f46"
"2023-02-01T04:54:57.412Z"; "3 BHK, Prestige Sunrise Park - Norwood"; "Electronic City"; 43000; "https://classifieds.mygate.com/listing/63d939784e0c22001ca886bf"
"2024-04-21T08:04:39.372Z"; "1 BHK, Godrej Nurture"; "Electronic City"; 30000; "https://classifieds.mygate.com/listing/660ab18439bdcd001c209065"
"2024-04-20T15:19:43.010Z"; "2 BHK, Godrej Nurture"; "Electronic City"; 37000; "https://classifieds.mygate.com/listing/6623dd06f325eb001c09a8df"
"2024-04-19T12:31:08.377Z"; "3 BHK, Godrej Nurture"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/660180b6a00d2c001ca5b7ac"
"2024-04-17T10:20:12.259Z"; "1 BHK, Godrej Nurture"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/661e72a3c604e5001c493043"
"2024-04-17T01:30:52.217Z"; "3 BHK, Godrej Nurture"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/661f2642404fcc001ca5c9a7"
"2024-04-15T12:58:54.898Z"; "3 BHK, Godrej Nurture"; "Electronic City"; 42000; "https://classifieds.mygate.com/listing/661d248cca708d001c2d2cad"
"2024-04-09T07:51:22.265Z"; "2 BHK, Godrej Nurture"; "Electronic City"; 41000; "https://classifieds.mygate.com/listing/6614f3309a3888001cf306a2"
"2024-04-08T14:26:19.458Z"; "3 BHK, Godrej Nurture"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/6613f7a3bf26c0001c9578e3"
"2024-04-01T01:23:07.546Z"; "1 BHK, Godrej Nurture"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/660631cced736d001cb9d43a"
"2024-03-07T06:22:00.760Z"; "1 BHK, Godrej Nurture"; "Electronic City"; 30000; "https://classifieds.mygate.com/listing/65e95cfd51e08a001b564334"
"2024-01-11T12:20:33.589Z"; "2 BHK, Godrej Nurture"; "Electronic City"; 43000; "https://classifieds.mygate.com/listing/6598da82f5903a001da34313"
"2024-04-15T06:51:09.194Z"; "2 BHK, Ajmera Stone Park"; "Electronic City"; 35000; "https://classifieds.mygate.com/listing/661cce5acb2631001c1308b0"
"2024-04-15T10:32:13.540Z"; "2 BHK, Mahaadeva My Nest"; "Electronic City"; 22000; "https://classifieds.mygate.com/listing/60d0d2e1aa4e04bfef2deab0"
"2024-04-15T10:30:23.236Z"; "2 BHK, Mahaadeva My Nest"; "Electronic City"; 22000; "https://classifieds.mygate.com/listing/661d01baeee1a8001c5a820a"
"2024-01-21T18:21:23.197Z"; "5 BHK, Ajmera Infinity"; "Electronic City"; 105000; "https://classifieds.mygate.com/listing/659f5c380e24cf001ce9d915"
"2023-12-05T15:55:32.043Z"; "2 BHK, Genesis Ecosphere Apartment"; "Electronic City"; 37430; "https://classifieds.mygate.com/listing/656f47eb58b363001c394520"
"2023-07-11T04:06:02.143Z"; "3 BHK, Prestige Sunrise Park - Birchwood"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/64acd52708acf9001c316bb7"
"2024-01-29T10:05:40.959Z"; "3 BHK, SK Aster"; "Electronic City"; 35000; "https://classifieds.mygate.com/listing/64f2b9935457ee001cb6c203"
"2023-04-14T10:57:06.077Z"; "2 BHK, SK Aster"; "Electronic City"; 9000; "https://classifieds.mygate.com/listing/6437ab1a8a04a1001cde185d"
"2024-04-22T05:46:27.678Z"; "2 BHK, DS Max Sigma"; "Electronic City"; 23000; "https://classifieds.mygate.com/listing/60f96c5a0e1644002013a324"
"2024-04-15T07:57:17.696Z"; "3 BHK, DS Max Sigma"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/6438dce15b0320001c029212"
"2024-04-13T05:56:11.328Z"; "2 BHK, DS Max Sigma"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/65eeeb27c10d98001c16f475"
"2024-03-29T00:32:44.370Z"; "2 BHK, DS Max Sigma"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/66060c24ed736d001cb99f40"
"2024-01-10T12:12:43.399Z"; "2 BHK, DS Max Sigma"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/659e89b95c76a5001ca376e5"
"2023-10-26T10:55:56.961Z"; "2 BHK, DS Max Sigma"; "Electronic City"; 21000; "https://classifieds.mygate.com/listing/6447940109efcb001c044ed7"
"2023-08-02T11:53:23.992Z"; "2 BHK, DS Max Sigma"; "Electronic City"; 23000; "https://classifieds.mygate.com/listing/64ca43b0ee026d001cd3f003"
"2023-03-21T09:32:09.007Z"; "2 BHK, DS Max Sigma"; "Electronic City"; 22000; "https://classifieds.mygate.com/listing/6401920056ff02001c9f08a7"
"2023-11-08T15:41:01.038Z"; "3 BHK, Concorde Tech Turf"; "Electronic City"; 42000; "https://classifieds.mygate.com/listing/654bac03cc3e7b001ccd8063"
"2024-04-16T17:07:44.000Z"; "2 BHK, MJR Clique Hercules"; "Electronic City"; 31600; "https://classifieds.mygate.com/listing/661d95f8ca708d001c2debe2"
"2024-04-15T05:50:42.971Z"; "3 BHK, MJR Clique Hercules"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/661cc029f64e1a001c1bef05"
"2024-04-11T09:15:46.801Z"; "1 BHK, MJR Clique Hercules"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/649833bcb809b4001c4db2f4"
"2024-04-10T13:12:18.085Z"; "1 BHK, MJR Clique Hercules"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/6145dc666d311a001522ad1f"
"2024-01-14T19:19:33.529Z"; "2 BHK, MJR Clique Hercules"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/65a26403946bab001dac58e5"
"2024-04-10T14:14:17.518Z"; "4 BHK, MJR Clique Hydra"; "Electronic City"; 62000; "https://classifieds.mygate.com/listing/66169bb39b0c7d001c8d254f"
"2024-04-08T00:00:46.200Z"; "2 BHK, MJR Clique Hydra"; "Electronic City"; 31000; "https://classifieds.mygate.com/listing/661333abbf26c0001c944eb4"
"2024-04-07T14:38:07.224Z"; "2 BHK, MJR Clique Hydra"; "Electronic City"; 37000; "https://classifieds.mygate.com/listing/6612afc6759710001cac7241"
"2023-07-06T09:18:03.361Z"; "2 BHK, MJR Clique Hydra"; "Electronic City"; 23000; "https://classifieds.mygate.com/listing/64a686c83596a9001cd91efe"
"2024-04-17T23:07:36.604Z"; "2 BHK, Himagiri Residency"; "Bettadasanapura"; 27000; "https://classifieds.mygate.com/listing/61ebfd0798b8b20015b83cfc"
"2024-03-28T05:17:43.591Z"; "3 BHK, Aratt Requizza"; "Electronic City"; 50000; "https://classifieds.mygate.com/listing/6604fd6d93473d001caf27d3"
"2024-04-20T12:04:02.042Z"; "3 BHK, Keerthi Royal Palms"; "Kudlu Gate"; 35000; "https://classifieds.mygate.com/listing/6623af2ff325eb001c0965ad"
"2024-04-20T10:23:15.776Z"; "3 BHK, Keerthi Royal Palms"; "Kudlu Gate"; 30000; "https://classifieds.mygate.com/listing/612ef3f06dbee8001500b14b"
"2024-02-09T04:10:36.385Z"; "2 BHK, SK Daisy"; "Electronic City"; 22000; "https://classifieds.mygate.com/listing/65c5a5b36e7d9a001d97c30d"
"2024-04-15T14:23:08.737Z"; "3 BHK, PSR Krish Kamal"; "Electronic City"; 12500; "https://classifieds.mygate.com/listing/661d3842ca708d001c2d4e22"
"2024-03-27T05:58:55.678Z"; "2 BHK, Mahendra Elena 5"; "Electronic City"; 30000; "https://classifieds.mygate.com/listing/6603b5966f29f3001dab9d24"
"2024-03-01T14:37:59.957Z"; "3 BHK, DS-Max STARRY"; "HBR Layout"; 30000; "https://classifieds.mygate.com/listing/64fb022f2ebe05001c1b644d"
"2023-11-02T09:13:38.958Z"; "2 BHK, DS-Max STARRY"; "HBR Layout"; 32000; "https://classifieds.mygate.com/listing/654139cd19005e001c11ac05"
"2024-04-21T05:23:25.168Z"; "2 BHK, Gopalan Lake Front"; "Electronic City"; 41000; "https://classifieds.mygate.com/listing/661e17def83a93001cc7ce88"
"2023-12-13T06:23:54.371Z"; "3 BHK, Gopalan Lake Front"; "Electronic City"; 50000; "https://classifieds.mygate.com/listing/65794bfd7dfdbe001ceac008"
"2024-03-13T11:03:23.584Z"; "3 BHK, SJR Fiesta Homes"; "Hosur Road"; 17000; "https://classifieds.mygate.com/listing/65f187f2e7886c001ca13773"
"2023-12-23T11:51:05.541Z"; "3 BHK, SJR Fiesta Homes"; "Hosur Road"; 47000; "https://classifieds.mygate.com/listing/643bd5eab44eb8001c8271e3"
"2024-01-21T06:32:12.297Z"; "2 BHK, VRR Nest"; "Electronic City"; 26000; "https://classifieds.mygate.com/listing/65acba695bcd18001cfe8c95"
"2024-04-18T14:03:10.592Z"; "2 BHK, SNN Raj Greenbay"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/6621281b174f67001cba5ce1"
"2024-03-13T22:51:54.171Z"; "3 BHK, SNN Raj Greenbay"; "Electronic City"; 65000; "https://classifieds.mygate.com/listing/65da535049e3cd001dc16d67"
"2023-12-07T09:48:46.826Z"; "3 BHK, SNN Raj Greenbay"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/612f5f16969ba20013180f7d"
"2023-07-30T03:26:12.228Z"; "2 BHK, SNN Raj Greenbay"; "Electronic City"; 38000; "https://classifieds.mygate.com/listing/64c5d84bd81e12001c572313"
"2023-06-23T14:28:30.677Z"; "3 BHK, SNN Raj Greenbay"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/6495ac06b809b4001c25b1e4"
"2023-03-07T07:17:42.825Z"; "3 BHK, SNN Raj Greenbay"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/6404b4710915b0001c55991d"
"2024-04-21T11:14:03.648Z"; "2 BHK, Ajmera Nucleus"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/66232a41bfaa20001bf9aecf"
"2024-04-18T12:01:02.836Z"; "2 BHK, Ajmera Nucleus"; "Electronic City"; 36500; "https://classifieds.mygate.com/listing/66210ae0bfaa20001bf64216"
"2024-04-09T06:25:39.806Z"; "3 BHK, Ajmera Nucleus"; "Electronic City"; 46000; "https://classifieds.mygate.com/listing/6614df572175fb001cb75483"
"2024-03-23T11:19:29.745Z"; "2 BHK, Ajmera Nucleus"; "Electronic City"; 42000; "https://classifieds.mygate.com/listing/65feba1938a3fd001c077446"
"2024-03-20T12:31:33.277Z"; "1 BHK, Ajmera Nucleus"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/65fad71c7ec18a001cbf6cec"
"2024-03-06T02:23:43.097Z"; "3 BHK, Ajmera Nucleus"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/65e7169dbe37d3001c393546"
"2023-10-14T13:29:15.971Z"; "2 BHK, Ajmera Nucleus"; "Electronic City"; 33000; "https://classifieds.mygate.com/listing/63e7917e60258c001c4899ba"
"2023-08-17T18:13:16.952Z"; "2 BHK, Ajmera Nucleus"; "Electronic City"; 33000; "https://classifieds.mygate.com/listing/64de633ad6ba17001caf6603"
"2023-07-04T13:26:54.671Z"; "3 BHK, Prestige Casabella"; "Electronic City"; 38000; "https://classifieds.mygate.com/listing/64a41e16aa1731001c141e9c"
"2024-04-21T04:45:39.130Z"; "3 BHK, DS-Max Starline"; "HBR Layout"; 30000; "https://classifieds.mygate.com/listing/661b8048ca708d001c2aaa19"
"2024-04-13T07:44:10.807Z"; "3 BHK, DS-Max Starline"; "HBR Layout"; 32000; "https://classifieds.mygate.com/listing/661a37c85098fd001c6c1d83"
"2024-04-20T00:37:30.785Z"; "2 BHK, Bren Trillium"; "Hosur Road"; 30000; "https://classifieds.mygate.com/listing/66230e41bfaa20001bf98b6e"
"2024-04-19T09:48:48.096Z"; "2 BHK, Bren Trillium"; "Hosur Road"; 35000; "https://classifieds.mygate.com/listing/65f7aa68a9f21c001c521896"
"2024-04-19T04:48:32.024Z"; "2 BHK, Bren Trillium"; "Hosur Road"; 35000; "https://classifieds.mygate.com/listing/6605534ced736d001cb8c6dc"
"2024-03-09T04:53:33.014Z"; "2 BHK, Bren Trillium"; "Hosur Road"; 40000; "https://classifieds.mygate.com/listing/65e86031ce4ef5001d3118c5"
"2024-04-20T05:53:50.249Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/662358658b7c2e001d7159f0"
"2024-04-19T14:02:03.960Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/61b438c155f94c00218523aa"
"2024-04-10T14:35:28.389Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 33000; "https://classifieds.mygate.com/listing/6616a3a86d12b0001c23cf31"
"2024-04-02T06:11:13.534Z"; "3 BHK, Sri Tirumala Vintage"; "Electronic City"; 32500; "https://classifieds.mygate.com/listing/660add6e1703e4001d4dce20"
"2024-03-14T13:08:13.400Z"; "4 BHK, VRR Golden Enclave"; "Electronic City"; 160000; "https://classifieds.mygate.com/listing/65bef31c0f351d001c9d0fcd"
"2024-04-20T16:07:11.445Z"; "3 BHK, Vascon Venus"; "Electronic City"; 33000; "https://classifieds.mygate.com/listing/6623e827b0daae001b0db436"
"2024-04-22T06:59:40.880Z"; "2 BHK, Smondoville"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/66260ad458eaff001cc35efd"
"2024-04-17T09:41:50.822Z"; "3 BHK, Smondoville"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/638cb1215b5e81001cca634f"
"2024-04-15T10:44:28.257Z"; "2 BHK, Smondoville"; "Electronic City"; 27000; "https://classifieds.mygate.com/listing/64b8c8ac8dc97d001c9a5ec1"
"2024-04-11T09:24:36.679Z"; "3 BHK, Smondoville"; "Electronic City"; 37000; "https://classifieds.mygate.com/listing/63e8e8ff0a49cb001c360c05"
"2024-02-18T08:08:32.412Z"; "2 BHK, Smondoville"; "Electronic City"; 25000; "https://classifieds.mygate.com/listing/643168295b0320001c856174"
"2024-01-16T13:13:46.118Z"; "2 BHK, Smondoville"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/63de1d53a43732001c1bb88f"
"2023-11-28T02:47:33.702Z"; "2 BHK, Smondoville"; "Electronic City"; 28500; "https://classifieds.mygate.com/listing/656554c2bb619f001c692c99"
"2023-08-26T15:35:18.671Z"; "2 BHK, Smondoville"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/64ea1bac148f55001c38a233"
"2023-07-15T09:24:29.231Z"; "2 BHK, Smondoville"; "Electronic City"; 35000; "https://classifieds.mygate.com/listing/6241e6dae8d1d7001d8ab690"
"2024-04-21T08:47:59.165Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 75000; "https://classifieds.mygate.com/listing/6624d2bca418fa001c7ec42c"
"2024-04-14T21:51:31.936Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/66079e26d37ce5001c6b72f2"
"2024-04-12T12:24:38.586Z"; "2 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/66169a797c41c5001c227dca"
"2024-04-12T04:16:31.769Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/6618b438954835001c24915c"
"2024-03-24T16:54:22.043Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 55000; "https://classifieds.mygate.com/listing/66005988b643c5001d67b0ef"
"2023-12-11T23:17:05.469Z"; "2 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/65771e6539c483001c51bb3a"
"2023-12-09T23:00:10.579Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 54000; "https://classifieds.mygate.com/listing/6574f1722db5b3001c0f516f"
"2023-07-20T05:40:23.811Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/64b8c8ac8dc97d001c9a5e74"
"2023-06-27T04:35:04.720Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 58000; "https://classifieds.mygate.com/listing/649a66f2b809b4001c6e0e74"
"2024-04-22T09:12:48.490Z"; "1 BHK, The Green Terraces"; "Electronic City"; 26001; "https://classifieds.mygate.com/listing/6459e8a2314309001ce60577"
"2024-04-13T02:24:46.961Z"; "3 BHK, The Green Terraces"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/641a8de10010d8001ce09862"
"2024-03-30T09:38:57.671Z"; "3 BHK, The Green Terraces"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/6607ca8eed736d001cbc257c"
"2024-03-01T11:49:28.600Z"; "2 BHK, The Green Terraces"; "Electronic City"; 30000; "https://classifieds.mygate.com/listing/6199c01cc4e5d3001372023f"
"2024-02-20T13:26:00.019Z"; "2 BHK, The Green Terraces"; "Electronic City"; 37000; "https://classifieds.mygate.com/listing/65d49f027de8b0001dfff9e2"
"2024-01-31T08:22:33.187Z"; "3 BHK, The Green Terraces"; "Electronic City"; 60000; "https://classifieds.mygate.com/listing/65ba033f66f50a001c01f626"
"2023-11-19T04:48:29.709Z"; "1 BHK, The Green Terraces"; "Electronic City"; 22000; "https://classifieds.mygate.com/listing/6559923f01d278001c2c15a3"
"2023-12-27T12:55:53.737Z"; "3 BHK, Smondo 2"; "Electronic City"; 42000; "https://classifieds.mygate.com/listing/658c1ed7d40afd001c7e217c"
"2023-12-23T09:09:26.125Z"; "3 BHK, Smondo 2"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/64d44bf6d6ba17001c12bca5"
"2023-11-28T06:30:01.151Z"; "2 BHK, Smondo 2"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/62f89d38894187001da66b25"
"2023-10-14T06:49:18.629Z"; "1 BHK, Smondo 2"; "Electronic City"; 20000; "https://classifieds.mygate.com/listing/652a39e7f38e4f001cbd5436"
"2024-04-09T14:41:20.124Z"; "3 BHK, Navami Funique"; "Electronic City"; 50000; "https://classifieds.mygate.com/listing/65fd09610fe185001df2bd14"
"2024-02-23T02:54:16.561Z"; "3 BHK, Navami Funique"; "Electronic City"; 60000; "https://classifieds.mygate.com/listing/65d808d50400b2001cfea871"
"2024-04-18T08:42:52.990Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 36000; "https://classifieds.mygate.com/listing/645f0e54de4d9e001cfe5a58"
"2024-04-20T07:28:25.889Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 24000; "https://classifieds.mygate.com/listing/661febcf404fcc001ca6d0ee"
"2024-04-18T03:31:31.264Z"; "3 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 27000; "https://classifieds.mygate.com/listing/66209409174f67001cb96d54"
"2024-04-17T10:49:48.073Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 32000; "https://classifieds.mygate.com/listing/661fa7cd0ff697001cc7193f"
"2024-04-16T05:28:02.141Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 30000; "https://classifieds.mygate.com/listing/661e0c58a82bbb001cb6e128"
"2024-04-13T13:14:53.049Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 29000; "https://classifieds.mygate.com/listing/660660e39daf6a001c6cf3f5"
"2024-04-08T07:13:36.338Z"; "3 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 30000; "https://classifieds.mygate.com/listing/66139916ad0074001c86bf28"
"2024-04-03T13:55:38.129Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 23000; "https://classifieds.mygate.com/listing/660afefbd2eada001c3d1097"
"2024-04-01T16:40:20.308Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 32000; "https://classifieds.mygate.com/listing/660ae36b07ef87001cdf96c6"
"2024-03-23T16:56:17.920Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 24000; "https://classifieds.mygate.com/listing/65edc41be7af4c001cb29ca3"
"2024-03-12T14:14:36.004Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 22000; "https://classifieds.mygate.com/listing/65ef138af2152e001cb560f4"
"2024-01-20T12:01:57.999Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 22000; "https://classifieds.mygate.com/listing/65abb633cfaf8d001c7ea23d"
"2023-10-28T06:57:44.202Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 34000; "https://classifieds.mygate.com/listing/653106351bf7c0001c5fd0e0"
"2023-09-10T08:01:53.328Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 21000; "https://classifieds.mygate.com/listing/64fd77ee598e0a001ced8289"
"2024-03-21T12:31:15.236Z"; "3 BHK, BREN WOODS"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/650d4cc94bb66b001cffab3c"
"2024-04-10T02:47:34.812Z"; "3 BHK, Sri Sai Acropolis"; "Hosur Road"; 25000; "https://classifieds.mygate.com/listing/6614ccff174a60001d852d49"
"2024-03-08T06:52:31.555Z"; "3 BHK, Sri Sai Acropolis"; "Hosur Road"; 40000; "https://classifieds.mygate.com/listing/64b657f36cacfb001cc8dd17"
"2024-02-25T17:51:30.826Z"; "3 BHK, Magnolia Maks Blossom"; "Electronic City"; 1000; "https://classifieds.mygate.com/listing/65d4db277de8b0001d005f84"
"2024-04-21T16:29:13.973Z"; "2 BHK, Reliaable Gardeniaa Layout"; "Rayasandra"; 22000; "https://classifieds.mygate.com/listing/63fc398f1178f0001c8e099e"
"2023-12-17T09:28:21.536Z"; "3 BHK, Purnima Elite"; "Electronic City"; 30000; "https://classifieds.mygate.com/listing/6536508aa60144001ce08ffb"
